Programa,Año aprobación,Sector económico,Tipo de persona beneficiada,País procedencia emprendimiento,Region procedencia emprendimiento,Región,Monto financiamiento aprobado,Número de integrantes,Género del integrante 1 del equipo,Nacionalidad integrante 1 del equipo,Rol integrante 1,Área educación superior integrante 1,Experiencia laboral integrante 1,Emprendimientos previos del integrante 1,Género del integrante 2 del equipo,Nacionalidad integrante 2 del equipo,Rol integrante 2,Área educación superior integrante 2,Experiencia laboral integrante 2,Emprendimientos previos del integrante 2,Género del integrante 3 del equipo,Nacionalidad integrante 3 del equipo,Rol integrante 3,Área educación superior integrante 3,Experiencia laboral integrante 3,Emprendimientos previos del integrante 3,Incorporado,Alcance del proyecto,País inicial de ejecución,Tipo de producto,Grado de innovación,Tipo de clientes,Canal adquisición nuevos clientes y/o usuarios,Canal adquisición ... - A través de entidades que reúnen a clientes potenciales,Canal adquisición ... - Eventos y/o participación en ferias,Canal adquisición ... - Marketing de contenidos,Canal adquisición ... - Publicidad online pagada,Canal adquisición ... - Redes sociales,Canal adquisición ... - Otros,Canales de venta existentes,Canales de venta ... - Venta directa (Vendedores),Canales de venta ... - Venta por internet,Canales de venta ... - Distribuidores,Canales de venta ... - Canales de empresa madre (Filial),Canales de venta ... - Representante de ventas,Canales de venta ... - Oficinas comerciales propias,Canales de venta ... - Otro,Mentor o consultor,Protección del producto o servicio a través de la obtención de patentes,Etapa de desarrollo del proyecto,Emprendimiento operativo 2015,Emprendimiento operativo 2016,Año cese de actividades 2016,Emprendimiento operativo 2017,Año cese de actividades 2017,Razón del cese de operaciones 2017,Razón el emprendimiento cerró 2017,Emprendimiento operativo 2018,Año cese de actividades 2018,Razón del cese de operaciones 2018,Razón el emprendimiento cerró 2018,El emprendimiento fue vendido o fusionado 2017,Año en que fue vendido o fusionado el emprendimiento 2017,El emprendimiento fue vendido o fusionado 2018,Año en que fue vendido o fusionado el emprendimiento 2018,Ventas nacionales por tramos 2015,Ventas nacionales por tramos 2016,Ventas nacionales por tramos 2017,Ventas nacionales acumuladas por tramos hasta 2015,Ventas nacionales acumuladas por tramos hasta 2016,Ventas nacionales acumuladas por tramos hasta 2017,Exportaciones por tramos 2015,Exportaciones acumuladas por tramos hasta 2015,Ventas extranjero por tramos 2016,Ventas extranjero por tramos 2017,Ventas acumuladas extranjero por tramos hasta 2016,Ventas acumuladas extranjero por tramos hasta 2017,Capital privado nacional por tramos hasta 2015,Capital privado nacional por tramos hasta 2016,Capital privado nacional por tramos hasta 2017,Capital privado extranjero por tramos hasta 2015,Capital privado extranjero por tramos hasta 2016,Capital privado extranjero por tramos hasta 2017,Empleados por tramos 2015,Empleados por tramos 2016,Empleados part time por tramos 2016,Empleados por tramos 2017,Empleados por tramos 2018,Empleados part time por tramos 2017,Empleados part time por tramos 2018,Continentes donde vende 2017,Continentes donde vende 2018,Países donde venden 2017,Número de países donde vende 2017,Países donde venden 2018,Número de países donde vende 2018,Sobrevivencia 2017,Sobrevivencia 2018
Capital Semilla,2014,Informática y tecnologías de la información,Persona jurídica,Chile,Región Metropolitana,Región Metropolitana,18500000,3,Hombre,Chile,Comercial,Administración y comercio,,,Hombre,,Técnico,Tecnología,,,Hombre,,Financiero,Ciencias exactas y naturales,,,,Nacional,,Servicio,Innovación incremental,Personas,A través de entidades que reúnen a clientes potenciales,Seleccionado,No seleccionado,No seleccionado,No seleccionado,No seleccionado,No seleccionado,Distribuidores,No seleccionado,No seleccionado,Seleccionado,No seleccionado,No seleccionado,No seleccionado,No seleccionado,Sí,El producto o servicio no es patentable,Trabajando en el desarrollo del prototipo,,Sí,,Sí,,,,No,2018,Cerró el emprendimento,El negocio no generó ingresos suficientes,No,,No,,$5.000.001 - $20.000.000,$20.000.001 - $50.000.000,$20.000.001 - $50.000.000,$5.000.001 - $20.000.000,$20.000.001 - $50.000.000,$5.000.001 - $20.000.000,$1 - $5.000.000,$1 - $5.000.000,0,0,0,0,0,0,0,0,0,0,,1-3,,0,,0,,Latinoamérica,Latinoamérica,Chile,1,Chile,1,Sí,No
Capital Semilla,2014,Manufactura,Persona jurídica,Chile,Región Metropolitana,Región Metropolitana,25000000,2,Hombre,Chile,Técnico,Arte y arquitectura,,,Mujer,,Financiero,Ciencias exactas y naturales,,,,,,,,,,,,Servicio,,Personas,"Eventos y/o participación en ferias,Publicidad online pagada,Redes sociales",No seleccionado,Seleccionado,No seleccionado,Seleccionado,Seleccionado,No seleccionado,,,,,,,,,Sí,,Vendiendo,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,No,No
Capital Semilla,2014,Multisectorial,Persona natural,Chile,Región Metropolitana,Región Metropolitana,23500000,3,Hombre,Chile,Financiero,Ciencias sociales,,,Hombre,,Técnico,Ciencias exactas y naturales,,,Mujer,,Operacional,Arte y arquitectura,,,,Latinoamérica,,Servicio,,Empresas/institución,"A través de entidades que reúnen a clientes potenciales,Eventos y/o participación en ferias",Seleccionado,Seleccionado,No seleccionado,No seleccionado,No seleccionado,No seleccionado,,,,,,,,,Sí,El producto o servicio no es patentable,Vendiendo,,Sí,,,,,,Sí,,,,,,No,,$5.000.001 - $20.000.000,$5.000.001 - $20.000.000,$20.000.001 - $50.000.000,$5.000.001 - $20.000.000,,$50.000.001 - $100.000.000,$1 - $5.000.000,$1 - $5.000.000,,0,,$1 - $5.000.000,1-$50.000.000,,0,0,,0,,1-3,1-3,1-3,4-10,1-3,1-3,Latinoamérica,Latinoamérica,Chile,1,"Chile,Perú",2,Sí,Sí
Capital Semilla,2014,Informática y tecnologías de la información,Persona jurídica,Chile,Región Metropolitana,Región Metropolitana,24700000,3,Mujer,Chile,Financiero,Tecnología,,,Hombre,,Técnico,Tecnología,,,Hombre,,Comercial,Arte y arquitectura,,,,Latinoamérica,,Software,Innovación disruptiva,Empresas/institución,"Eventos y/o participación en ferias,Otros",No seleccionado,Seleccionado,No seleccionado,No seleccionado,No seleccionado,Seleccionado,Venta directa (Vendedores),Seleccionado,No seleccionado,No seleccionado,No seleccionado,No seleccionado,No seleccionado,No seleccionado,Sí,,Vendiendo,,Sí,,Sí,,,,Sí,,,,No,,No,,$50.000.001 - $100.000.000,$150.000.001 - $300.000.000,$300.000.001 - $500.000.000,$150.000.001 - $300.000.000,$500.000.001 - $800.000.000,$800.000.001 - $1.200.000.000,$1 - $5.000.000,$1 - $5.000.000,0,0,0,$5.000.001 - $20.000.000,$100.000.001 - $200.000.000,$100.000.001 - $200.000.000,$100.000.001 - $200.000.000,0,0,0,,4-10,,4-10,4-10,0,1-3,Latinoamérica,Latinoamérica,Chile,1,"Chile,Costa Rica",2,Sí,Sí
Capital Semilla,2014,Comercio,Persona jurídica,Chile,Región Metropolitana,Región Metropolitana,25000000,3,Mujer,Chile,Comercial,Arte y arquitectura,,,Hombre,,Financiero,Arte y arquitectura,,,Hombre,,Comercial,Administración y comercio,,,,,,Producto físico,,Personas,Eventos y/o participación en ferias,No seleccionado,Seleccionado,No seleccionado,No seleccionado,No seleccionado,No seleccionado,,,,,,,,,No,,Vendiendo,,,,Sí,,,,,,,,No,,,,,$5.000.001 - $20.000.000,$20.000.001 - $50.000.000,,$1 - $5.000.000,,,,$5.000.001 - $20.000.000,,$1 - $5.000.000,,,0,,,0,,,,,0,,0,,"Europa, Latinoamérica, Norteamérica",Latinoamérica,"Chile,Brasil,Estados Unidos de América,Países Nórdicos,Perú,Reino Unido",6,Chile,1,Sí,Sí
Capital Semilla,2014,Manufactura,Persona jurídica,Chile,Región Metropolitana,Región Metropolitana,15300000,3,Hombre,Chile,Financiero,Ciencias exactas y naturales,,,Hombre,,Operacional,Administración y comercio,,,Hombre,,Técnico,Ciencias exactas y naturales,,,,Global,,Producto físico,,Personas,"A través de entidades que reúnen a clientes potenciales,Eventos y/o participación en ferias,Publicidad online pagada,Redes sociales",Seleccionado,Seleccionado,No seleccionado,Seleccionado,Seleccionado,No seleccionado,,,,,,,,,Sí,El producto o servicio es patentable pero no se ha ingresado la solicitud,Producto funcional con usuarios,,No,2016,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,0,,,,,,,,,0,,0,No,No
Capital Semilla,2014,Manufactura,Persona jurídica,Chile,Región de los Ríos,Región de los Ríos,25000000,2,Hombre,Chile,Comercial,,,2,Hombre,,Financiero,Ciencias exactas y naturales,,,,,,,,,,Latinoamérica,,Producto físico,,Personas,A través de entidades que reúnen a clientes potenciales,Seleccionado,No seleccionado,No seleccionado,No seleccionado,No seleccionado,No seleccionado,Distribuidores,No seleccionado,No seleccionado,Seleccionado,No seleccionado,No seleccionado,No seleccionado,No seleccionado,Sí,El producto o servicio es patentable pero no se ha ingresado la solicitud,Vendiendo,,Sí,,,,,,,,,,,,,,$50.000.001 - $100.000.000,$20.000.001 - $50.000.000,$20.000.001 - $50.000.000,$150.000.001 - $300.000.000,,,$1 - $5.000.000,$1 - $5.000.000,,,,,0,,,0,,,,4-10,,,,,,Latinoamérica,Latinoamérica,Chile,1,Chile,1,Sí,Sí
Capital Semilla,2014,Informática y tecnologías de la información,Persona natural,Chile,Región Metropolitana,Región Metropolitana,25000000,2,Hombre,Chile,Financiero,Tecnología,,,Hombre,,Técnico,Tecnología,,,,,,,,,,Nacional,,Software,,Empresas/institución,"Eventos y/o participación en ferias,Otros",No seleccionado,Seleccionado,No seleccionado,No seleccionado,No seleccionado,Seleccionado,,,,,,,,,Sí,El producto o servicio es patentable pero no se ha ingresado la solicitud,Trabajando en el desarrollo del prototipo,,No,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,Sin información,Sin información
Capital Semilla,2014,Informática y tecnologías de la información,Persona natural,Chile,Región Metropolitana,Región Metropolitana,24100000,3,Hombre,,Técnico,Tecnología,,,Mujer,,Financiero,Administración y comercio,,,Hombre,,Técnico,Tecnología,,,,Global,,Software,,Empresas/institución,A través de entidades que reúnen a clientes potenciales,Seleccionado,No seleccionado,No seleccionado,No seleccionado,No seleccionado,No seleccionado,,,,,,,,,Sí,El producto o servicio es patentable pero no se ha ingresado la solicitud,Producto funcional con usuarios,,Sí,,No,2016,El emprendimiento se encuentra en stand-by por ahora,,No,2017,El emprendimiento se encuentra en stand-by por ahora,,No,,No,,$1 - $5.000.000,,0,$1 - $5.000.000,0,0,$1 - $5.000.000,$1 - $5.000.000,0,0,0,0,0,0,0,0,0,0,,1-3,,,,,,,,,0,,0,No,No
Capital Semilla,2014,"Transporte, construcción, infraestructura y energía",Persona jurídica,Chile,Región Metropolitana,Región Metropolitana,25000000,3,Hombre,Chile,Comercial,Ciencias exactas y naturales,,,Hombre,,Operacional,Ciencias exactas y naturales,,,Hombre,,Técnico,Tecnología,,,,,,Servicio,,Empresas/institución,A través de entidades que reúnen a clientes potenciales,Seleccionado,No seleccionado,No seleccionado,No seleccionado,No seleccionado,No seleccionado,,,,,,,,,Sí,El producto o servicio no es patentable,Producto funcional con usuarios,Sí,,,,,,,,,,,,,,,$1 - $5.000.000,0,0,$20.000.001 - $50.000.000,,,,,,,,,,,,,,,,1-3,,,,,,,,,0,,0,No,No
